time_s,frame_index,side,valid_mask,x,y,z,world_x,world_y,world_z,raw_speed,smoothed_speed,motion_source,motion_weight,boundary_x,boundary_y,interpolated_for_motion
5.0,250,left,False,,,,,,,,,,0.0,,,False
5.0,250,right,True,0.32879772782325745,0.8827458024024963,4.0259376987705764e-07,-0.007756966166198254,0.04950215667486191,0.043822310864925385,,,,0.0,0.341221,0.725082,False
5.14,257,left,False,,,,,,,,,,0.0,,,False
5.14,257,right,True,0.43424344062805176,0.554071307182312,3.1186783644443494e-07,-0.007514175958931446,0.05013571307063103,0.02558187022805214,1.5228885,0.8227421,observed,1.0,0.44064,0.428858,False
5.26,263,left,False,,,,,,,,,,0.0,,,False
5.26,263,right,True,0.4342685341835022,0.5868189930915833,1.1847017589161624e-07,0.004320517182350159,0.07989886403083801,0.011278362944722176,0.1225956,0.8227421,observed,1.0,0.42865,0.456529,False
5.38,269,left,True,0.4442393183708191,0.8784336447715759,-2.787415951388539e-07,-0.04365929588675499,0.05965709313750267,0.03833560273051262,,,,0.0,0.502808,0.746804,False
5.38,269,right,False,,,,,,,,,,0.0,,,False
5.5,275,left,False,,,,,,,,,,0.0,,,False
5.5,275,right,False,,,,,,,,,,0.0,,,False
5.64,282,left,False,,,,,,,,,,0.0,,,False
5.64,282,right,False,,,,,,,,,,0.0,,,False
5.76,288,left,False,,,,,,,,,,0.0,,,False
5.76,288,right,False,,,,,,,,,,0.0,,,False
5.88,294,left,False,,,,,,,,,,0.0,,,False
5.88,294,right,False,,,,,,,,,,0.0,,,False
6.0,300,left,False,,,,,,,,,,0.0,,,False
6.0,300,right,False,,,,,,,,,,0.0,,,False
6.14,307,left,False,,,,,,,,,,0.0,,,False
6.14,307,right,True,0.4544440507888794,0.6155678033828735,-1.023777187469932e-07,-0.030169276520609856,0.06394443660974503,0.025230618193745613,,,,0.0,0.482409,0.488853,False
